Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	17.35	5.00e+006	0.948	-3.780	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	17.43	5.00e+006	0.948	-3.780	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	17.38	5.00e+006	0.948	-3.780	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	19.99	5.00e+005	0.948	-3.780	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	20.39	5.00e+005	0.948	-3.780	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	20.34	5.00e+005	0.948	-3.780	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	23.44	5.00e+004	0.948	-3.780	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	24.23	5.00e+004	0.948	-3.780	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	24.00	5.00e+004	0.948	-3.780	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	27.68	5.00e+003	0.948	-3.780	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	27.30	5.00e+003	0.948	-3.780	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	28.17	5.00e+003	0.948	-3.780	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	28.66	5.00e+002	0.948	-3.780	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	28.25	5.00e+002	0.948	-3.780	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	35.84	5.00e+002	0.948	-3.780	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.948	-3.780	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	35.90	5.00e+001	0.948	-3.780	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	37.27	5.00e+001	0.948	-3.780	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.948	-3.780	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.948	-3.780	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	40.26	5.00e+000	0.948	-3.780	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.948	-3.780	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.948	-3.780	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.948	-3.780	
A4	09_MST003_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.948	-3.780	
A5	09_MST003_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.948	-3.780	
A6	09_MST003_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.948	-3.780	
B4	10_MST012_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.948	-3.780	
B5	10_MST012_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.948	-3.780	
B6	10_MST012_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.948	-3.780	
C4	11_MST019_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.948	-3.780	
C5	11_MST019_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.948	-3.780	
C6	11_MST019_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.948	-3.780	
D4	12_MST029_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.948	-3.780	
D5	12_MST029_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.948	-3.780	
D6	12_MST029_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.948	-3.780	
E4	13_MST032_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.948	-3.780	
E5	13_MST032_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.948	-3.780	
E6	13_MST032_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.948	-3.780	
F4	14_MST041_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.948	-3.780	
F5	14_MST041_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.948	-3.780	
F6	14_MST041_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.948	-3.780	
G4	15_MST046_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.948	-3.780	
G5	15_MST046_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.948	-3.780	
