Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E5_3uL_  Qty or ID	Standard	1	0.0585	23.38	3.00e+005	0.999	-3.396	
A2	01_std1E5_3uL_  Qty or ID	Standard	1	0.0585	23.14	3.00e+005	0.999	-3.396	
A3	01_std1E5_3uL_  Qty or ID	Standard	1	0.0585	23.32	3.00e+005	0.999	-3.396	
B1	02_std1E4_3uL_  Qty or ID	Standard	2	0.0585	26.80	3.00e+004	0.999	-3.396	
B2	02_std1E4_3uL_  Qty or ID	Standard	2	0.0585	26.65	3.00e+004	0.999	-3.396	
B3	02_std1E4_3uL_  Qty or ID	Standard	2	0.0585	26.50	3.00e+004	0.999	-3.396	
C1	03_std1E3_3uL_  Qty or ID	Standard	3	0.0585	30.06	3.00e+003	0.999	-3.396	
C2	03_std1E3_3uL_  Qty or ID	Standard	3	0.0585	30.13	3.00e+003	0.999	-3.396	
C3	03_std1E3_3uL_  Qty or ID	Standard	3	0.0585	30.10	3.00e+003	0.999	-3.396	
D1	04_std1E2_3uL_  Qty or ID	Standard	4	0.0585	33.44	3.00e+002	0.999	-3.396	
D2	04_std1E2_3uL_  Qty or ID	Standard	4	0.0585	33.46	3.00e+002	0.999	-3.396	
D3	04_std1E2_3uL_  Qty or ID	Standard	4	0.0585	33.92	3.00e+002	0.999	-3.396	
E1	05_std1E1_3uL_  Qty or ID	Standard	5	0.0585	36.84	3.00e+001	0.999	-3.396	
E2	05_std1E1_3uL_  Qty or ID	Standard	5	0.0585	37.02	3.00e+001	0.999	-3.396	
E3	05_std1E1_3uL_  Qty or ID	Standard	5	0.0585	36.82	3.00e+001	0.999	-3.396	
F1	06_std1E0_3uL_  Qty or ID	Standard	6	0.0585	40.18	3.00e+000	0.999	-3.396	
F2	06_std1E0_3uL_  Qty or ID	Standard	6	0.0585	No Ct	No Ct	0.999	-3.396	
F3	06_std1E0_3uL_  Qty or ID	Standard	6	0.0585	40.17	3.00e+000	0.999	-3.396	
G1	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0585	No Ct	No Ct	0.999	-3.396	
G2	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0585	No Ct	No Ct	0.999	-3.396	
G3	07_std1E-1_3uL_  Qty or ID	Standard	7	0.0585	No Ct	No Ct	0.999	-3.396	
H1	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0585	No Ct	No Ct	0.999	-3.396	
H2	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0585	No Ct	No Ct	0.999	-3.396	
H3	08_std1ENTC_3uL_  Qty or ID	NTC	8	0.0585	No Ct	No Ct	0.999	-3.396	
A4	09_MST2023117STEX33_04_3uL_  Qty or ID	Unknown	9	0.0585	No Ct	No Ct	0.999	-3.396	
A5	09_MST2023117STEX33_04_3uL_  Qty or ID	Unknown	9	0.0585	No Ct	No Ct	0.999	-3.396	
A6	09_MST2023117STEX33_04_3uL_  Qty or ID	Unknown	9	0.0585	No Ct	No Ct	0.999	-3.396	
B4	10_MST2023089STEX33_07_3uL_  Qty or ID	Unknown	10	0.0585	No Ct	No Ct	0.999	-3.396	
B5	10_MST2023089STEX33_07_3uL_  Qty or ID	Unknown	10	0.0585	No Ct	No Ct	0.999	-3.396	
B6	10_MST2023089STEX33_07_3uL_  Qty or ID	Unknown	10	0.0585	No Ct	No Ct	0.999	-3.396	
C4	11_MST2023055STEX33_09_3uL_  Qty or ID	Unknown	11	0.0585	No Ct	No Ct	0.999	-3.396	
C5	11_MST2023055STEX33_09_3uL_  Qty or ID	Unknown	11	0.0585	No Ct	No Ct	0.999	-3.396	
C6	11_MST2023055STEX33_09_3uL_  Qty or ID	Unknown	11	0.0585	No Ct	No Ct	0.999	-3.396	
D4	12_MST2022110STEX33_10_3uL_  Qty or ID	Unknown	12	0.0585	No Ct	No Ct	0.999	-3.396	
D5	12_MST2022110STEX33_10_3uL_  Qty or ID	Unknown	12	0.0585	No Ct	No Ct	0.999	-3.396	
D6	12_MST2022110STEX33_10_3uL_  Qty or ID	Unknown	12	0.0585	No Ct	No Ct	0.999	-3.396	
E4	13_MST1018STEX33_13_3uL_  Qty or ID	Unknown	13	0.0585	No Ct	No Ct	0.999	-3.396	
E5	13_MST1018STEX33_13_3uL_  Qty or ID	Unknown	13	0.0585	No Ct	No Ct	0.999	-3.396	
E6	13_MST1018STEX33_13_3uL_  Qty or ID	Unknown	13	0.0585	No Ct	No Ct	0.999	-3.396	
F4	14_MST2023041STEX33_15_3uL_  Qty or ID	Unknown	14	0.0585	No Ct	No Ct	0.999	-3.396	
F5	14_MST2023041STEX33_15_3uL_  Qty or ID	Unknown	14	0.0585	No Ct	No Ct	0.999	-3.396	
F6	14_MST2023041STEX33_15_3uL_  Qty or ID	Unknown	14	0.0585	No Ct	No Ct	0.999	-3.396	
G4	15_MST2023065STEX33_18_3uL_  Qty or ID	Unknown	15	0.0585	No Ct	No Ct	0.999	-3.396	
G5	15_MST2023065STEX33_18_3uL_  Qty or ID	Unknown	15	0.0585	No Ct	No Ct	0.999	-3.396	
G6	15_MST2023065STEX33_18_3uL_  Qty or ID	Unknown	15	0.0585	No Ct	No Ct	0.999	-3.396	
H4	16_MST443STEX33_20_3uL_  Qty or ID	Unknown	16	0.0585	No Ct	No Ct	0.999	-3.396	
H5	16_MST443STEX33_20_3uL_  Qty or ID	Unknown	16	0.0585	No Ct	No Ct	0.999	-3.396	
H6	16_MST443STEX33_20_3uL_  Qty or ID	Unknown	16	0.0585	No Ct	No Ct	0.999	-3.396	
A7	17_MST2023033STEX33_21_3uL_  Qty or ID	Unknown	17	0.0585	No Ct	No Ct	0.999	-3.396	
A8	17_MST2023033STEX33_21_3uL_  Qty or ID	Unknown	17	0.0585	No Ct	No Ct	0.999	-3.396	
A9	17_MST2023033STEX33_21_3uL_  Qty or ID	Unknown	17	0.0585	No Ct	No Ct	0.999	-3.396	
B7	18_MST2023050STEX34_01_3uL_  Qty or ID	Unknown	18	0.0585	No Ct	No Ct	0.999	-3.396	
B8	18_MST2023050STEX34_01_3uL_  Qty or ID	Unknown	18	0.0585	No Ct	No Ct	0.999	-3.396	
B9	18_MST2023050STEX34_01_3uL_  Qty or ID	Unknown	18	0.0585	No Ct	No Ct	0.999	-3.396	
C7	19_MST2023084STEX34_03_3uL_  Qty or ID	Unknown	19	0.0585	No Ct	No Ct	0.999	-3.396	
C8	19_MST2023084STEX34_03_3uL_  Qty or ID	Unknown	19	0.0585	No Ct	No Ct	0.999	-3.396	
C9	19_MST2023084STEX34_03_3uL_  Qty or ID	Unknown	19	0.0585	No Ct	No Ct	0.999	-3.396	
D7	20_MST2023096STEX34_05_3uL_  Qty or ID	Unknown	20	0.0585	No Ct	No Ct	0.999	-3.396	
D8	20_MST2023096STEX34_05_3uL_  Qty or ID	Unknown	20	0.0585	No Ct	No Ct	0.999	-3.396	
D9	20_MST2023096STEX34_05_3uL_  Qty or ID	Unknown	20	0.0585	No Ct	No Ct	0.999	-3.396	
E7	21_MST2023081STEX34_07_3uL_  Qty or ID	Unknown	21	0.0585	No Ct	No Ct	0.999	-3.396	
E8	21_MST2023081STEX34_07_3uL_  Qty or ID	Unknown	21	0.0585	No Ct	No Ct	0.999	-3.396	
E9	21_MST2023081STEX34_07_3uL_  Qty or ID	Unknown	21	0.0585	No Ct	No Ct	0.999	-3.396	
F7	22_MST2023097STEX34_09_3uL_  Qty or ID	Unknown	22	0.0585	No Ct	No Ct	0.999	-3.396	
F8	22_MST2023097STEX34_09_3uL_  Qty or ID	Unknown	22	0.0585	No Ct	No Ct	0.999	-3.396	
F9	22_MST2023097STEX34_09_3uL_  Qty or ID	Unknown	22	0.0585	No Ct	No Ct	0.999	-3.396	
G7	23_MST2023102STEX34_11_3uL_  Qty or ID	Unknown	23	0.0585	No Ct	No Ct	0.999	-3.396	
G8	23_MST2023102STEX34_11_3uL_  Qty or ID	Unknown	23	0.0585	No Ct	No Ct	0.999	-3.396	
G9	23_MST2023102STEX34_11_3uL_  Qty or ID	Unknown	23	0.0585	No Ct	No Ct	0.999	-3.396	
H7	24_MST2023082STEX34_14_3uL_  Qty or ID	Unknown	24	0.0585	No Ct	No Ct	0.999	-3.396	
H8	24_MST2023082STEX34_14_3uL_  Qty or ID	Unknown	24	0.0585	No Ct	No Ct	0.999	-3.396	
H9	24_MST2023082STEX34_14_3uL_  Qty or ID	Unknown	24	0.0585	No Ct	No Ct	0.999	-3.396	
A10	25_MST2023099STEX34_15_3uL_  Qty or ID	Unknown	25	0.0585	No Ct	No Ct	0.999	-3.396	
A11	25_MST2023099STEX34_15_3uL_  Qty or ID	Unknown	25	0.0585	No Ct	No Ct	0.999	-3.396	
A12	25_MST2023099STEX34_15_3uL_  Qty or ID	Unknown	25	0.0585	No Ct	No Ct	0.999	-3.396	
B10	26_MST2023111STEX32_05_3uL_  Qty or ID	Unknown	26	0.0585	No Ct	No Ct	0.999	-3.396	
