ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;invasiveness;occurrence;decimalLatitude;decimalLongitude;qualityStatus
Pseudopolydora paucibranchiata;131168;Pseudopolydora paucibranchiata;131168;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Pseudopolydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Pseudopolydora pulchra;131169;Pseudopolydora pulchra;131169;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Pseudopolydora;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;trusted
Pygospio elegans;131170;Pygospio elegans;131170;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Pygospio;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Scolelepis bonnieri;131171;Scolelepis bonnieri;131171;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Scolelepis ciliata;155543;Scolelepis ciliata;155543;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;55.3300018310547;3;unreviewed
Scolelepis foliosa;131173;Scolelepis foliosa;131173;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Scolelepis fuliginosa;155542;Scolelepis fuliginosa;155542;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;55.3300018310547;3;unreviewed
Scolelepis korsuni;131174;Scolelepis korsuni;131174;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Norwegian part of the North Sea;http://marineregions.org/mrgid/25233;North Sea;http://marineregions.org/mrgid/2350;valid;NA;Alien;Uncertain;Reported;NA;NA;trusted
Scolelepis squamata;131177;Scolelepis squamata;131177;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Scolelepis squamatus;334751;Scolelepis squamatus;334751;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Scolelepis tridentata;131178;Scolelepis tridentata;131178;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Scolelepis vulgaris;334752;Nereis aries;338474;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Scolelepis;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Spio cirrata;340211;Spio cirrata;340211;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;North Sea;http://marineregions.org/mrgid/2350;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Spio crenaticornis;131181;Spio crenaticornis;131181;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Spio filicornis;131183;Spio filicornis;131183;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Spio gattyi;338559;Spio gattyi;338559;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Spio goniocephala;131184;Spio goniocephala;131184;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Spio martinensis;131185;Spio martinensis;131185;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Spio parva;334827;Nereis parva;338437;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Spio symphyta;596189;Spio symphyta;596189;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;Danish part of the North Sea;http://marineregions.org/mrgid/25231;NA;NA;valid;holotype;NA;NA;NA;55.217667;6.85495;checked
Spio viridis;338567;Spio viridis;338567;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spio;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Spiophanes bombyx;131187;Spiophanes bombyx;131187;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spiophanes;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Spiophanes kroyeri;131188;Spiophanes kroyeri;131188;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Spiophanes;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;NA;NA;unreviewed
Streblospio benedicti;131191;Streblospio benedicti;131191;Animalia;Annelida;Polychaeta;Spionida;Spionidae;Streblospio;Atlantic Europe;http://marineregions.org/mrgid/9230;NA;NA;valid;NA;Alien;NA;NA;NA;NA;unreviewed
