ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;invasiveness;occurrence;decimalLatitude;decimalLongitude;qualityStatus
Protectoconorca senonensis;329925;Protectoconorca senonensis;329925;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Protectoconorca;Germany;http://marineregions.org/mrgid/2101;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Protula tubularia;131035;Protula tubularia;131035;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Protula;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;NA;NA;unreviewed
Serpula angulata;338080;Serpula angulata;338080;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula arundo;338083;Serpula arundo;338083;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula carinata;340017;Serpula carinata;340017;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula clientela;331822;Serpula clientela;331822;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Germany;http://marineregions.org/mrgid/2101;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula cordineri;338092;Serpula cordineri;338092;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula cornea;331828;Serpula cornea;331828;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula filum;737177;Serpula filum;737177;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Germany;http://marineregions.org/mrgid/2101;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula heterostropha;331844;Serpula heterostropha;331844;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;United Kingdom Exclusive Economic Zone;http://marineregions.org/mrgid/5696;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
Serpula libera;338115;Serpula libera;338115;Animalia;Annelida;Polychaeta;Sabellida;Serpulidae;Serpula;Norwegian part of the North Sea;http://marineregions.org/mrgid/25233;NA;NA;valid;holotype;NA;NA;NA;NA;NA;checked
