Well;Well Name;Replicate;Well Type;Threshold (dRn);Ct (dRn);Quantity (copies);RSqdRn;Slope (dRn)
A01;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;24.6215723285526;300000;RSq (dRn);Slope (dRn)
A02;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;24.2782446147045;300000;RSq (dRn);Slope (dRn)
A03;Std01_std1E5_3uL_Qty or ID;Std01;Std01;Treshold;24.6303735401281;300000;RSq (dRn);Slope (dRn)
A04;Unkn09_MST0505_3uL_Qty or ID;Unkn09;Unkn09;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A05;Unkn09_MST0505_3uL_Qty or ID;Unkn09;Unkn09;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A06;Unkn09_MST0505_3uL_Qty or ID;Unkn09;Unkn09;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A07;Unkn17_MST0427_3uL_Qty or ID;Unkn17;Unkn17;Treshold;38.4139146751147;40.1615021001522;RSq (dRn);Slope (dRn)
A08;Unkn17_MST0427_3uL_Qty or ID;Unkn17;Unkn17;Treshold;40.5541333530018;9.94314303641315;RSq (dRn);Slope (dRn)
A09;Unkn17_MST0427_3uL_Qty or ID;Unkn17;Unkn17;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A10;Unkn25_MST0185_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A11;Unkn25_MST0185_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
A12;Unkn25_MST0185_3uL_Qty or ID;Unkn25;Unkn25;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
B01;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;28.367654179879;30000;RSq (dRn);Slope (dRn)
B02;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;27.5585210222115;30000;RSq (dRn);Slope (dRn)
B03;Std02_std1E4_3uL_Qty or ID;Std02;Std02;Treshold;27.675884306679;30000;RSq (dRn);Slope (dRn)
B04;Unkn10_MST0486_3uL_Qty or ID;Unkn10;Unkn10;Treshold;38.1521073044094;47.6403962650711;RSq (dRn);Slope (dRn)
B05;Unkn10_MST0486_3uL_Qty or ID;Unkn10;Unkn10;Treshold;38.9165495224243;28.9349240808568;RSq (dRn);Slope (dRn)
B06;Unkn10_MST0486_3uL_Qty or ID;Unkn10;Unkn10;Treshold;38.7976225496004;31.2688755658563;RSq (dRn);Slope (dRn)
B07;Unkn18_MST0471_3uL_Qty or ID;Unkn18;Unkn18;Treshold;36.203084917638;169.863114893658;RSq (dRn);Slope (dRn)
B08;Unkn18_MST0471_3uL_Qty or ID;Unkn18;Unkn18;Treshold;37.9657303103336;53.7988119812304;RSq (dRn);Slope (dRn)
B09;Unkn18_MST0471_3uL_Qty or ID;Unkn18;Unkn18;Treshold;36.8126698449709;114.133834702146;RSq (dRn);Slope (dRn)
B10;Unkn26_MST0562_3uL_Qty or ID;Unkn26;Unkn26;Treshold;37.87027751878;57.2549157927772;RSq (dRn);Slope (dRn)
B11;Unkn26_MST0562_3uL_Qty or ID;Unkn26;Unkn26;Treshold;40.1964376248158;12.5560370201709;RSq (dRn);Slope (dRn)
B12;Unkn26_MST0562_3uL_Qty or ID;Unkn26;Unkn26;Treshold;38.2880343439557;43.5983073528196;RSq (dRn);Slope (dRn)
C01;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;32.4108994259267;3000;RSq (dRn);Slope (dRn)
C02;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;32.2759828599757;3000;RSq (dRn);Slope (dRn)
C03;Std03_std1E3_3uL_Qty or ID;Std03;Std03;Treshold;32.2596127853163;3000;RSq (dRn);Slope (dRn)
C04;Unkn11_MST0282_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C05;Unkn11_MST0282_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C06;Unkn11_MST0282_3uL_Qty or ID;Unkn11;Unkn11;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C07;Unkn19_MST0482_3uL_Qty or ID;Unkn19;Unkn19;Treshold;37.9674441872019;53.7387022432036;RSq (dRn);Slope (dRn)
C08;Unkn19_MST0482_3uL_Qty or ID;Unkn19;Unkn19;Treshold;38.5847542723766;35.9264328772793;RSq (dRn);Slope (dRn)
C09;Unkn19_MST0482_3uL_Qty or ID;Unkn19;Unkn19;Treshold;38.1219381199543;48.5871878907032;RSq (dRn);Slope (dRn)
C10;Unkn27_MST0189_3uL_Qty or ID;Unkn27;Unkn27;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C11;Unkn27_MST0189_3uL_Qty or ID;Unkn27;Unkn27;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
C12;Unkn27_MST0189_3uL_Qty or ID;Unkn27;Unkn27;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
D01;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;36.2833024662604;300;RSq (dRn);Slope (dRn)
D02;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;35.25525714841;300;RSq (dRn);Slope (dRn)
D03;Std04_std1E2_3uL_Qty or ID;Std04;Std04;Treshold;35.4897164856627;300;RSq (dRn);Slope (dRn)
D04;Unkn12_MST0293_3uL_Qty or ID;Unkn12;Unkn12;Treshold;NaN;NaN;RSq (dRn);Slope (dRn)
