Well;replno;smpltp;templvol;QtyID;Replicate;WellType;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;qpcrno;MONISprojectno;AssayID;speciesabbr;plateno;qpcrrundate
A01;Std01;std1E5;3uL;QtyorID;Std01;Std01;Treshold;28.3424036426681;300000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A02;Std01;std1E5;3uL;QtyorID;Std01;Std01;Treshold;28.3594409881211;300000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A03;Std01;std1E5;3uL;QtyorID;Std01;Std01;Treshold;27.113622571887;300000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A04;Unkn09;MST0505;3uL;QtyorID;Unkn09;Unkn09;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A05;Unkn09;MST0505;3uL;QtyorID;Unkn09;Unkn09;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A06;Unkn09;MST0505;3uL;QtyorID;Unkn09;Unkn09;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A07;Unkn17;MST0427;3uL;QtyorID;Unkn17;Unkn17;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A08;Unkn17;MST0427;3uL;QtyorID;Unkn17;Unkn17;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A09;Unkn17;MST0427;3uL;QtyorID;Unkn17;Unkn17;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A10;Unkn25;MST0185;3uL;QtyorID;Unkn25;Unkn25;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A11;Unkn25;MST0185;3uL;QtyorID;Unkn25;Unkn25;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A12;Unkn25;MST0185;3uL;QtyorID;Unkn25;Unkn25;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B01;Std02;std1E4;3uL;QtyorID;Std02;Std02;Treshold;28.0728680889434;30000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B02;Std02;std1E4;3uL;QtyorID;Std02;Std02;Treshold;32.1363333990191;30000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B03;Std02;std1E4;3uL;QtyorID;Std02;Std02;Treshold;29.9241334193472;30000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B04;Unkn10;MST0486;3uL;QtyorID;Unkn10;Unkn10;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B05;Unkn10;MST0486;3uL;QtyorID;Unkn10;Unkn10;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B06;Unkn10;MST0486;3uL;QtyorID;Unkn10;Unkn10;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B07;Unkn18;MST0471;3uL;QtyorID;Unkn18;Unkn18;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B08;Unkn18;MST0471;3uL;QtyorID;Unkn18;Unkn18;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B09;Unkn18;MST0471;3uL;QtyorID;Unkn18;Unkn18;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B10;Unkn26;MST0562;3uL;QtyorID;Unkn26;Unkn26;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B11;Unkn26;MST0562;3uL;QtyorID;Unkn26;Unkn26;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
B12;Unkn26;MST0562;3uL;QtyorID;Unkn26;Unkn26;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C01;Std03;std1E3;3uL;QtyorID;Std03;Std03;Treshold;35.6728982950189;3000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C02;Std03;std1E3;3uL;QtyorID;Std03;Std03;Treshold;35.4819976213274;3000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C03;Std03;std1E3;3uL;QtyorID;Std03;Std03;Treshold;35.3670933296987;3000;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C04;Unkn11;MST0282;3uL;QtyorID;Unkn11;Unkn11;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C05;Unkn11;MST0282;3uL;QtyorID;Unkn11;Unkn11;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C06;Unkn11;MST0282;3uL;QtyorID;Unkn11;Unkn11;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C07;Unkn19;MST0482;3uL;QtyorID;Unkn19;Unkn19;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C08;Unkn19;MST0482;3uL;QtyorID;Unkn19;Unkn19;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C09;Unkn19;MST0482;3uL;QtyorID;Unkn19;Unkn19;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C10;Unkn27;MST0189;3uL;QtyorID;Unkn27;Unkn27;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C11;Unkn27;MST0189;3uL;QtyorID;Unkn27;Unkn27;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
C12;Unkn27;MST0189;3uL;QtyorID;Unkn27;Unkn27;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D01;Std04;std1E2;3uL;QtyorID;Std04;Std04;Treshold;40.9469547668642;300;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D02;Std04;std1E2;3uL;QtyorID;Std04;Std04;Treshold;38.4837146037406;300;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D03;Std04;std1E2;3uL;QtyorID;Std04;Std04;Treshold;38.3619307516199;300;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D04;Unkn12;MST0293;3uL;QtyorID;Unkn12;Unkn12;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D05;Unkn12;MST0293;3uL;QtyorID;Unkn12;Unkn12;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D06;Unkn12;MST0293;3uL;QtyorID;Unkn12;Unkn12;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D07;Unkn20;MST0518;3uL;QtyorID;Unkn20;Unkn20;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
