Well;replno;smpltp;templvol;QtyID;Replicate;WellType;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;qpcrno;MONISprojectno;AssayID;speciesabbr;plateno;qpcrrundate
D08;Unkn20;MST0518;3uL;QtyorID;Unkn20;Unkn20;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D09;Unkn20;MST0518;3uL;QtyorID;Unkn20;Unkn20;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D10;Unkn28;MST0292;3uL;QtyorID;Unkn28;Unkn28;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D11;Unkn28;MST0292;3uL;QtyorID;Unkn28;Unkn28;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
D12;Unkn28;MST0292;3uL;QtyorID;Unkn28;Unkn28;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E01;Std05;std1E1;3uL;QtyorID;Std05;Std05;Treshold;41.7943304588101;30;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E02;Std05;std1E1;3uL;QtyorID;Std05;Std05;Treshold;40.0731217205623;30;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E03;Std05;std1E1;3uL;QtyorID;Std05;Std05;Treshold;NaN;30;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E04;Unkn13;MST0275;3uL;QtyorID;Unkn13;Unkn13;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E05;Unkn13;MST0275;3uL;QtyorID;Unkn13;Unkn13;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E06;Unkn13;MST0275;3uL;QtyorID;Unkn13;Unkn13;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E07;Unkn21;MST0560;3uL;QtyorID;Unkn21;Unkn21;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E08;Unkn21;MST0560;3uL;QtyorID;Unkn21;Unkn21;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E09;Unkn21;MST0560;3uL;QtyorID;Unkn21;Unkn21;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E10;Unkn29;MST0489;3uL;QtyorID;Unkn29;Unkn29;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E11;Unkn29;MST0489;3uL;QtyorID;Unkn29;Unkn29;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
E12;Unkn29;MST0489;3uL;QtyorID;Unkn29;Unkn29;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F01;Std06;std1E0;3uL;QtyorID;Std06;Std06;Treshold;NaN;3;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F02;Std06;std1E0;3uL;QtyorID;Std06;Std06;Treshold;NaN;3;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F03;Std06;std1E0;3uL;QtyorID;Std06;Std06;Treshold;NaN;3;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F04;Unkn14;MST0191;3uL;QtyorID;Unkn14;Unkn14;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F05;Unkn14;MST0191;3uL;QtyorID;Unkn14;Unkn14;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F06;Unkn14;MST0191;3uL;QtyorID;Unkn14;Unkn14;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F07;Unkn22;MST0450;3uL;QtyorID;Unkn22;Unkn22;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F08;Unkn22;MST0450;3uL;QtyorID;Unkn22;Unkn22;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F09;Unkn22;MST0450;3uL;QtyorID;Unkn22;Unkn22;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F10;Unkn30;MST0183;3uL;QtyorID;Unkn30;Unkn30;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F11;Unkn30;MST0183;3uL;QtyorID;Unkn30;Unkn30;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
F12;Unkn30;MST0183;3uL;QtyorID;Unkn30;Unkn30;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G01;Std07;std1E-1;3uL;QtyorID;Std07;Std07;Treshold;NaN;0.3;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G02;Std07;std1E-1;3uL;QtyorID;Std07;Std07;Treshold;NaN;0.3;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G03;Std07;std1E-1;3uL;QtyorID;Std07;Std07;Treshold;NaN;0.3;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G04;Unkn15;MST0177;3uL;QtyorID;Unkn15;Unkn15;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G05;Unkn15;MST0177;3uL;QtyorID;Unkn15;Unkn15;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G06;Unkn15;MST0177;3uL;QtyorID;Unkn15;Unkn15;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G07;Unkn23;MST0422;3uL;QtyorID;Unkn23;Unkn23;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G08;Unkn23;MST0422;3uL;QtyorID;Unkn23;Unkn23;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G09;Unkn23;MST0422;3uL;QtyorID;Unkn23;Unkn23;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G10;Unkn31;MST0215;3uL;QtyorID;Unkn31;Unkn31;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G11;Unkn31;MST0215;3uL;QtyorID;Unkn31;Unkn31;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
G12;Unkn31;MST0215;3uL;QtyorID;Unkn31;Unkn31;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H01;NegCtrl08;NTC;3uL;QtyorID;NegCtrl08;NegCtrl08;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H02;NegCtrl08;NTC;3uL;QtyorID;NegCtrl08;NegCtrl08;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H03;NegCtrl08;NTC;3uL;QtyorID;NegCtrl08;NegCtrl08;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H04;Unkn16;MST0179;3uL;QtyorID;Unkn16;Unkn16;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H05;Unkn16;MST0179;3uL;QtyorID;Unkn16;Unkn16;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H06;Unkn16;MST0179;3uL;QtyorID;Unkn16;Unkn16;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H07;Unkn24;MST0527;3uL;QtyorID;Unkn24;Unkn24;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H08;Unkn24;MST0527;3uL;QtyorID;Unkn24;Unkn24;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H09;Unkn24;MST0527;3uL;QtyorID;Unkn24;Unkn24;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H10;Unkn32;MSTNEC;3uL;QtyorID;Unkn32;Unkn32;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H11;Unkn32;MSTNEC;3uL;QtyorID;Unkn32;Unkn32;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
H12;Unkn32;MSTNEC;3uL;QtyorID;Unkn32;Unkn32;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0769;MONIS5biorad;assid14;Rhihar;plt01;qpcrrundate20201209
A01;Std01;std1E5;3uL;QtyorID;Std01;Std01;Treshold;23.9568570439118;300000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A02;Std01;std1E5;3uL;QtyorID;Std01;Std01;Treshold;23.8158707473635;300000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A03;Std01;std1E5;3uL;QtyorID;Std01;Std01;Treshold;23.6672059399207;300000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A04;Unkn09;MST0505;3uL;QtyorID;Unkn09;Unkn09;Treshold;31.7399422107813;2125.70269793323;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A05;Unkn09;MST0505;3uL;QtyorID;Unkn09;Unkn09;Treshold;32.1692610664218;1615.12732410413;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A06;Unkn09;MST0505;3uL;QtyorID;Unkn09;Unkn09;Treshold;32.3068535926296;1479.01858563778;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A07;Unkn17;MST0427;3uL;QtyorID;Unkn17;Unkn17;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A08;Unkn17;MST0427;3uL;QtyorID;Unkn17;Unkn17;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A09;Unkn17;MST0427;3uL;QtyorID;Unkn17;Unkn17;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A10;Unkn25;MST0185;3uL;QtyorID;Unkn25;Unkn25;Treshold;32.2776338549107;1506.92966790943;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A11;Unkn25;MST0185;3uL;QtyorID;Unkn25;Unkn25;Treshold;32.3604909855466;1429.12196118162;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
A12;Unkn25;MST0185;3uL;QtyorID;Unkn25;Unkn25;Treshold;32.3358455545652;1451.83603750757;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B01;Std02;std1E4;3uL;QtyorID;Std02;Std02;Treshold;27.5137294618521;30000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B02;Std02;std1E4;3uL;QtyorID;Std02;Std02;Treshold;27.2341802531354;30000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B03;Std02;std1E4;3uL;QtyorID;Std02;Std02;Treshold;28.0707672847105;30000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B04;Unkn10;MST0486;3uL;QtyorID;Unkn10;Unkn10;Treshold;36.538485991531;98.6553816319722;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B05;Unkn10;MST0486;3uL;QtyorID;Unkn10;Unkn10;Treshold;36.1597131740844;125.710398540387;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B06;Unkn10;MST0486;3uL;QtyorID;Unkn10;Unkn10;Treshold;37.8645083463345;42.2334033449596;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B07;Unkn18;MST0471;3uL;QtyorID;Unkn18;Unkn18;Treshold;39.4357243673993;15.4546397034449;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B08;Unkn18;MST0471;3uL;QtyorID;Unkn18;Unkn18;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B09;Unkn18;MST0471;3uL;QtyorID;Unkn18;Unkn18;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B10;Unkn26;MST0562;3uL;QtyorID;Unkn26;Unkn26;Treshold;36.9340935034996;76.5935970340878;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B11;Unkn26;MST0562;3uL;QtyorID;Unkn26;Unkn26;Treshold;36.8805330001749;79.2639002826047;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
B12;Unkn26;MST0562;3uL;QtyorID;Unkn26;Unkn26;Treshold;37.3519284790782;58.6256616058368;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C01;Std03;std1E3;3uL;QtyorID;Std03;Std03;Treshold;30.4932166839044;3000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C02;Std03;std1E3;3uL;QtyorID;Std03;Std03;Treshold;31.0360082748887;3000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C03;Std03;std1E3;3uL;QtyorID;Std03;Std03;Treshold;31.3577694052318;3000;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C04;Unkn11;MST0282;3uL;QtyorID;Unkn11;Unkn11;Treshold;36.0914015058839;131.326725071649;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C05;Unkn11;MST0282;3uL;QtyorID;Unkn11;Unkn11;Treshold;37.1087360443329;68.4958350932406;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C06;Unkn11;MST0282;3uL;QtyorID;Unkn11;Unkn11;Treshold;36.8512265617725;80.7641974735909;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C07;Unkn19;MST0482;3uL;QtyorID;Unkn19;Unkn19;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C08;Unkn19;MST0482;3uL;QtyorID;Unkn19;Unkn19;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C09;Unkn19;MST0482;3uL;QtyorID;Unkn19;Unkn19;Treshold;NaN;NaN;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C10;Unkn27;MST0189;3uL;QtyorID;Unkn27;Unkn27;Treshold;32.5318549062765;1280.71362433744;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C11;Unkn27;MST0189;3uL;QtyorID;Unkn27;Unkn27;Treshold;32.8019510068185;1077.45673885279;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
C12;Unkn27;MST0189;3uL;QtyorID;Unkn27;Unkn27;Treshold;33.0023225568396;947.811918644069;RSqdRn;SlopedRn;qpcr0770;MONIS5biorad;assid13;Myaare;plt01;qpcrrundate20201211
