Well;replno;smpltp;templvol;QtyID;WellType;Replicate;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;qpcrno;MONISprojectno;AssayID;speciesabbr;plateno;qpcrrundate
A1;01;std1E5;3uL;QtyorID;Standard;1;0.0491;20.61;3.00e+005;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A2;01;std1E5;3uL;QtyorID;Standard;1;0.0491;20.73;3.00e+005;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A3;01;std1E5;3uL;QtyorID;Standard;1;0.0491;20.94;3.00e+005;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B1;02;std1E4;3uL;QtyorID;Standard;2;0.0491;24.43;3.00e+004;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B2;02;std1E4;3uL;QtyorID;Standard;2;0.0491;24.18;3.00e+004;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B3;02;std1E4;3uL;QtyorID;Standard;2;0.0491;24.20;3.00e+004;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C1;03;std1E3;3uL;QtyorID;Standard;3;0.0491;27.55;3.00e+003;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C2;03;std1E3;3uL;QtyorID;Standard;3;0.0491;27.75;3.00e+003;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C3;03;std1E3;3uL;QtyorID;Standard;3;0.0491;27.76;3.00e+003;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D1;04;std1E2;3uL;QtyorID;Standard;4;0.0491;30.95;3.00e+002;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D2;04;std1E2;3uL;QtyorID;Standard;4;0.0491;30.95;3.00e+002;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D3;04;std1E2;3uL;QtyorID;Standard;4;0.0491;33.78;3.00e+002;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E1;05;std1E1;3uL;QtyorID;Standard;5;0.0491;34.49;3.00e+001;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E2;05;std1E1;3uL;QtyorID;Standard;5;0.0491;34.59;3.00e+001;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E3;05;std1E1;3uL;QtyorID;Standard;5;0.0491;34.50;3.00e+001;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F1;06;std1E0;3uL;QtyorID;Standard;6;0.0491;37.48;3.00e+000;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F2;06;std1E0;3uL;QtyorID;Standard;6;0.0491;37.40;3.00e+000;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F3;06;std1E0;3uL;QtyorID;Standard;6;0.0491;40.17;3.00e+000;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G1;07;std1E-1;3uL;QtyorID;Standard;7;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G2;07;std1E-1;3uL;QtyorID;Standard;7;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G3;07;std1E-1;3uL;QtyorID;Standard;7;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H1;08;std1ENTC;3uL;QtyorID;NTC;8;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H2;08;std1ENTC;3uL;QtyorID;NTC;8;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H3;08;std1ENTC;3uL;QtyorID;NTC;8;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A4;09;MST2022100STEX31-01;3uL;QtyorID;Unknown;9;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A5;09;MST2022100STEX31-01;3uL;QtyorID;Unknown;9;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A6;09;MST2022100STEX31-01;3uL;QtyorID;Unknown;9;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B4;10;MST2023051STEX31-04;3uL;QtyorID;Unknown;10;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B5;10;MST2023051STEX31-04;3uL;QtyorID;Unknown;10;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B6;10;MST2023051STEX31-04;3uL;QtyorID;Unknown;10;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C4;11;MST2023034STEX31-05;3uL;QtyorID;Unknown;11;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C5;11;MST2023034STEX31-05;3uL;QtyorID;Unknown;11;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C6;11;MST2023034STEX31-05;3uL;QtyorID;Unknown;11;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D4;12;MST2023061STEX31-06;3uL;QtyorID;Unknown;12;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D5;12;MST2023061STEX31-06;3uL;QtyorID;Unknown;12;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D6;12;MST2023061STEX31-06;3uL;QtyorID;Unknown;12;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E4;13;MST2023076STEX31-07;3uL;QtyorID;Unknown;13;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E5;13;MST2023076STEX31-07;3uL;QtyorID;Unknown;13;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E6;13;MST2023076STEX31-07;3uL;QtyorID;Unknown;13;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F4;14;MST2022103STEX31-09;3uL;QtyorID;Unknown;14;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F5;14;MST2022103STEX31-09;3uL;QtyorID;Unknown;14;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F6;14;MST2022103STEX31-09;3uL;QtyorID;Unknown;14;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G4;15;MST2023064STEX31-12;3uL;QtyorID;Unknown;15;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G5;15;MST2023064STEX31-12;3uL;QtyorID;Unknown;15;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G6;15;MST2023064STEX31-12;3uL;QtyorID;Unknown;15;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H4;16;MST2023009STEX31-15;3uL;QtyorID;Unknown;16;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H5;16;MST2023009STEX31-15;3uL;QtyorID;Unknown;16;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H6;16;MST2023009STEX31-15;3uL;QtyorID;Unknown;16;0.0491;38.89;2.13;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A7;17;MST2022089STEX31-17;3uL;QtyorID;Unknown;17;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A8;17;MST2022089STEX31-17;3uL;QtyorID;Unknown;17;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A9;17;MST2022089STEX31-17;3uL;QtyorID;Unknown;17;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B7;18;MST2023086STEX31-19;3uL;QtyorID;Unknown;18;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B8;18;MST2023086STEX31-19;3uL;QtyorID;Unknown;18;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B9;18;MST2023086STEX31-19;3uL;QtyorID;Unknown;18;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C7;19;MST2022077STEX31-22;3uL;QtyorID;Unknown;19;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C8;19;MST2022077STEX31-22;3uL;QtyorID;Unknown;19;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
C9;19;MST2022077STEX31-22;3uL;QtyorID;Unknown;19;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D7;20;MST2023001STEX32-01;3uL;QtyorID;Unknown;20;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D8;20;MST2023001STEX32-01;3uL;QtyorID;Unknown;20;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
D9;20;MST2023001STEX32-01;3uL;QtyorID;Unknown;20;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E7;21;MST2022052STEX32-04;3uL;QtyorID;Unknown;21;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E8;21;MST2022052STEX32-04;3uL;QtyorID;Unknown;21;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
E9;21;MST2022052STEX32-04;3uL;QtyorID;Unknown;21;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F7;22;MST2023015STEX32-16;3uL;QtyorID;Unknown;22;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F8;22;MST2023015STEX32-16;3uL;QtyorID;Unknown;22;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
F9;22;MST2023015STEX32-16;3uL;QtyorID;Unknown;22;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G7;23;MST2022094STEX32-07;3uL;QtyorID;Unknown;23;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G8;23;MST2022094STEX32-07;3uL;QtyorID;Unknown;23;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
G9;23;MST2022094STEX32-07;3uL;QtyorID;Unknown;23;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H7;24;MST2023114STEX32-11;3uL;QtyorID;Unknown;24;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H8;24;MST2023114STEX32-11;3uL;QtyorID;Unknown;24;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
H9;24;MST2023114STEX32-11;3uL;QtyorID;Unknown;24;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A10;25;MST2023016STEX32-12;3uL;QtyorID;Unknown;25;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A11;25;MST2023016STEX32-12;3uL;QtyorID;Unknown;25;0.0491;39.71;1.24;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
A12;25;MST2023016STEX32-12;3uL;QtyorID;Unknown;25;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
B10;26;MST2022097STEX32-14;3uL;QtyorID;Unknown;26;0.0491;NoCt;NoCt;0.982;-3.513;qpcr1021;MONIS6MST2023;AssID08;Colper;plt01;qpcrrundate20240220
