Well;replno;smpltp;templvol;QtyID;WellType;Replicate;ThresholddRn;CtdRn;Quantitycopies;RSqdRn;SlopedRn;qpcrno;MONISprojectno;AssayID;speciesabbr;plateno;qpcrrundate
D7;20;MST-2021-023STEX26-26;3uL;QtyorID;Unknown;20;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D8;20;MST-2021-023STEX26-26;3uL;QtyorID;Unknown;20;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D9;20;MST-2021-023STEX26-26;3uL;QtyorID;Unknown;20;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E7;21;MST-2021-016STEX26-08;3uL;QtyorID;Unknown;21;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E8;21;MST-2021-016STEX26-08;3uL;QtyorID;Unknown;21;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E9;21;MST-2021-016STEX26-08;3uL;QtyorID;Unknown;21;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F7;22;MST-2022-042STEX27-02;3uL;QtyorID;Unknown;22;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F8;22;MST-2022-042STEX27-02;3uL;QtyorID;Unknown;22;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F9;22;MST-2022-042STEX27-02;3uL;QtyorID;Unknown;22;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G7;23;MST-2022-047STEX27-04;3uL;QtyorID;Unknown;23;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G8;23;MST-2022-047STEX27-04;3uL;QtyorID;Unknown;23;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G9;23;MST-2022-047STEX27-04;3uL;QtyorID;Unknown;23;0.0066;49.45;4.992e-002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H7;24;MST-2021-002STEX27-05;3uL;QtyorID;Unknown;24;0.0066;49.60;4.621e-002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H8;24;MST-2021-002STEX27-05;3uL;QtyorID;Unknown;24;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H9;24;MST-2021-002STEX27-05;3uL;QtyorID;Unknown;24;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A10;25;MST-2021-003STEX27-06;3uL;QtyorID;Unknown;25;0.0066;49.89;3.997e-002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A11;25;MST-2021-003STEX27-06;3uL;QtyorID;Unknown;25;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A12;25;MST-2021-003STEX27-06;3uL;QtyorID;Unknown;25;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B10;26;MST-2021-006STEX27-07;3uL;QtyorID;Unknown;26;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B11;26;MST-2021-006STEX27-07;3uL;QtyorID;Unknown;26;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
B12;26;MST-2021-006STEX27-07;3uL;QtyorID;Unknown;26;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C10;27;MST-2021-007STEX27-09;3uL;QtyorID;Unknown;27;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C11;27;MST-2021-007STEX27-09;3uL;QtyorID;Unknown;27;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
C12;27;MST-2021-007STEX27-09;3uL;QtyorID;Unknown;27;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D10;28;MST-2021-028STEX27-21;3uL;QtyorID;Unknown;28;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D11;28;MST-2021-028STEX27-21;3uL;QtyorID;Unknown;28;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
D12;28;MST-2021-028STEX27-21;3uL;QtyorID;Unknown;28;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E10;29;MST-2022-055STEX27-12;3uL;QtyorID;Unknown;29;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E11;29;MST-2022-055STEX27-12;3uL;QtyorID;Unknown;29;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
E12;29;MST-2022-055STEX27-12;3uL;QtyorID;Unknown;29;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F10;30;MST-2021-013STEX27-15;3uL;QtyorID;Unknown;30;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F11;30;MST-2021-013STEX27-15;3uL;QtyorID;Unknown;30;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
F12;30;MST-2021-013STEX27-15;3uL;QtyorID;Unknown;30;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G10;31;MST-2022-054STEX27-16;3uL;QtyorID;Unknown;31;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G11;31;MST-2022-054STEX27-16;3uL;QtyorID;Unknown;31;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
G12;31;MST-2022-054STEX27-16;3uL;QtyorID;Unknown;31;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H10;32;MST-442STEX27-24;3uL;QtyorID;Unknown;32;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H11;32;MST-442STEX27-24;3uL;QtyorID;Unknown;32;0.0066;NoCt;NoCt;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
H12;32;MST-442STEX27-24;3uL;QtyorID;Unknown;32;0.0066;48.83;6.821e-002;0.845;-4.567;qpcr1000;MONIS6MST2022;AssID28;Homame;plt01;qpcrrundate20230913
A1;01;std1E5;3uL;QtyorID;Standard;1;0.0156;20.54;3.00e+005;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
A2;01;std1E5;3uL;QtyorID;Standard;1;0.0156;20.70;3.00e+005;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
A3;01;std1E5;3uL;QtyorID;Standard;1;0.0156;21.00;3.00e+005;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
B1;02;std1E4;3uL;QtyorID;Standard;2;0.0156;24.31;3.00e+004;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
B2;02;std1E4;3uL;QtyorID;Standard;2;0.0156;24.64;3.00e+004;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
B3;02;std1E4;3uL;QtyorID;Standard;2;0.0156;24.01;3.00e+004;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
C1;03;std1E3;3uL;QtyorID;Standard;3;0.0156;27.66;3.00e+003;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
C2;03;std1E3;3uL;QtyorID;Standard;3;0.0156;28.08;3.00e+003;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
C3;03;std1E3;3uL;QtyorID;Standard;3;0.0156;27.95;3.00e+003;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
D1;04;std1E2;3uL;QtyorID;Standard;4;0.0156;32.38;3.00e+002;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
D2;04;std1E2;3uL;QtyorID;Standard;4;0.0156;31.26;3.00e+002;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
D3;04;std1E2;3uL;QtyorID;Standard;4;0.0156;31.87;3.00e+002;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
E1;05;std1E1;3uL;QtyorID;Standard;5;0.0156;35.43;3.00e+001;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
E2;05;std1E1;3uL;QtyorID;Standard;5;0.0156;35.07;3.00e+001;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
E3;05;std1E1;3uL;QtyorID;Standard;5;0.0156;34.63;3.00e+001;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
F1;06;std1E0;3uL;QtyorID;Standard;6;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
F2;06;std1E0;3uL;QtyorID;Standard;6;0.0156;44.70;3.00e+000;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
F3;06;std1E0;3uL;QtyorID;Standard;6;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
G1;07;std1E-1;3uL;QtyorID;Standard;7;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
G2;07;std1E-1;3uL;QtyorID;Standard;7;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
G3;07;std1E-1;3uL;QtyorID;Standard;7;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
H1;08;std1ENTC;3uL;QtyorID;NTC;8;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
H2;08;std1ENTC;3uL;QtyorID;NTC;8;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
H3;08;std1ENTC;3uL;QtyorID;NTC;8;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
A4;09;MST-2022-039STEX28-01;3uL;QtyorID;Unknown;9;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
A5;09;MST-2022-039STEX28-01;3uL;QtyorID;Unknown;9;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
A6;09;MST-2022-039STEX28-01;3uL;QtyorID;Unknown;9;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
B4;10;MST-2022-056STEX28-02;3uL;QtyorID;Unknown;10;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
B5;10;MST-2022-056STEX28-02;3uL;QtyorID;Unknown;10;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
B6;10;MST-2022-056STEX28-02;3uL;QtyorID;Unknown;10;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
C4;11;MST-1011STEX28-03;3uL;QtyorID;Unknown;11;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
C5;11;MST-1011STEX28-03;3uL;QtyorID;Unknown;11;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
C6;11;MST-1011STEX28-03;3uL;QtyorID;Unknown;11;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
D4;12;MST-2022-087STEX28-04;3uL;QtyorID;Unknown;12;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
D5;12;MST-2022-087STEX28-04;3uL;QtyorID;Unknown;12;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
D6;12;MST-2022-087STEX28-04;3uL;QtyorID;Unknown;12;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
E4;13;MST-454STEX28-07;3uL;QtyorID;Unknown;13;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
E5;13;MST-454STEX28-07;3uL;QtyorID;Unknown;13;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
E6;13;MST-454STEX28-07;3uL;QtyorID;Unknown;13;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
F4;14;MST-2022-045STEX28-11;3uL;QtyorID;Unknown;14;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
F5;14;MST-2022-045STEX28-11;3uL;QtyorID;Unknown;14;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
F6;14;MST-2022-045STEX28-11;3uL;QtyorID;Unknown;14;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
G4;15;MST-2022-073STEX28-12;3uL;QtyorID;Unknown;15;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
G5;15;MST-2022-073STEX28-12;3uL;QtyorID;Unknown;15;0.0156;NoCt;NoCt;0.959;-4.042;qpcr1001;MONIS6MST2022;AssID28;Homame;plt02;qpcrrundate20230913
