"MST.n_Dinds";"Acipenser baerii";"Acipenser gueldenstaedtii";"Bonnemaisonia hamifera";"Callinectes sapidus";"Carassius auratus";"Colpomenia peregrine";"Cordylophora caspia";"Crassostrea gigas";"Cyprinus carpio";"Eriocheir sinensis";"Hemigrapsus sanguineus";"Hemigrapsus takanoi";"Homarus americanus";"Karenia mikimotoi";"Mnemiopsis leidyi";"Mya arenaria";"Neogobius melanostomus";"Oncorhynchus mykiss";"Oncorhyncus gorbuscha";"Paralithodes camtschaticus";"Prorocentrum minimum";"Pseudochattonella farcimen";"Pseudochattonella verruculosa";"Rhithropanopeus harrisii"
"MST0141_2018-08-16";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"1";"0";"0";"N";"0";"0";"0";"0";"0"
"MST0121_2017-09-05";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"0";"0";"1";"N";"0";"0";"0";"0";"0"
"MST0152_2018-06-04";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"1";"0";"0";"N";"0";"0";"1";"0";"0"
"MST0131_2017-10-10";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"0";"0";"0";"N";"0";"0";"0";"0";"0"
"MST0220_2018-08-30";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"1";"0";"0";"N";"0";"0";"0";"0";"0"
"MST0003_2017-08-30";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"0";"0";"0";"N";"0";"0";"0";"0";"0"
"MST0227_2018-08-29";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0230_2018-06-27";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0231_2018-08-17";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0244_2018-08-28";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0257_2018-08-23";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0280_2018-06-27";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0047_2018-05-23";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0059_2018-04-05";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0"
"MST0061_2018-05-28";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0063_2018-05-03";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0070_2018-05-15";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
"MST0092_2018-05-15";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0100_2018-05-14";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0107_2018-07-06";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
"MST0115_2018-05-15";"0";"N";"0";"N";"0";"0";"0";"0";"0";"0";"N";"N";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
