"MST.nummer";"dato indsamlet";"lokalitet_vanda";"volumen vand filtreret (mL)";"breddegrad";"længdegrad"
"MST0476_2019-05-23";"2019-05-23";93220011;"1500";55.713;12.04
"MST0292_2019-05-27";"2019-05-27";94230001;"950";55.4783;10.5169
"MST0189_2019-05-28";"2019-05-28";94300001;"1300";55.6746;10.0849
"MST0177_2019-06-04";"2019-06-04";95600002;"1300";54.9978;10.1669
"MST0179_2019-06-11";"2019-06-11";94400007;"1100";56.1547;10.3194
"MST0486_2019-06-12";"2019-06-12";93770056;"480";56.709;8.2682
"MST0562_2019-06-12";"2019-06-12";93770056;"590";56.709;8.2682
"MST0182_2019-06-12";"2019-06-12";94300001;"1500";56.1318;11.1501
"MST0158_2019-06-25";"2019-06-25";97200002;"1650";55.9376;12.5169
"MST0468_2019-06-27";"2019-06-27";96220363;"1200";55.1616;11.6513
"MST0129_2019-06-28";"2019-06-28";92200001;"1500";57.6078;9.9003
"MST0371_2019-06-28";"2019-06-28";93420310;"1350";56.1768;10.9524
"MST0277_2019-07-08";"2019-07-08";93920064;"1500";57.5408;10.4688
"MST0521_2019-08-07";"2019-08-07";99000049;"1400";55.25;15.59
"MST0379_2019-08-07";"2019-08-07";91320001;"80";56.0778;8.2168
"MST0367_2019-08-14";"2019-08-14";99210007;"1300";54.74;12.0858
"MST0422_2019-08-26";"2019-08-26";97200002;"1700";55.862;12.75
"MST0419_2019-08-26";"2019-08-26";93000005;"1800";56.857;10.7846
"MST0502_2019-08-26";"2019-08-26";95600002;"1700";54.9979;10.167
"MST0518_2019-08-27";"2019-08-27";93610032;"1600";56.6617;9.9678
"MST0450_2019-08-27";"2019-08-27";94300001;"1600";56.1315;11.1501
"MST0498_2019-08-27";"2019-08-27";91500007;"900";55.3376;8.35
"MST0471_2019-08-28";"2019-08-28";99000052;"1450";54.9997;13.2834
"MST0473_2019-08-28";"2019-08-28";93730002;"1000";57.955;9.0519
"MST0427_2019-08-29";"2019-08-29";94300001;"1650";55.6737;10.0538
"MST0527_2019-08-29";"2019-08-29";93740007;"700";57.3699;9.0681
"MST0188_2019-09-02";"2019-09-02";94230001;"1000";55.4678;10.5169
"MST0482_2019-09-05";"2019-09-05";94400007;"1700";56.1546;10.3222
"MST0144_2019-09-05";"2019-09-05";93220011;"1600";55.713;12.04
"MST0560_2019-09-24";"2019-09-24";98210012;"1000";54.7346;11.0847
"MST0430_2019-09-24";"2019-09-24";92200001;"1500";57.6078;9.9003
"MST0413_2019-09-24";"2019-09-24";92200001;"1500";57.6078;9.9003
"MST0462_2020-03-09";"2020-03-09";93010001;"1800";57.1086;11.1193
"MST0535_2020-03-09";"2020-03-09";96510125;"1400";55.0295;10.4241
"MST0424_2020-05-12";"2020-05-12";93610032;"1650";56.6908;10.0394
"MST0533_2020-05-13";"2020-05-13";95600002;"1600";54.9973;10.1502
"MST0526_2020-05-13";"2020-05-13";93000005;"1400";56.8565;10.7848
"MST0529_2020-05-14";"2020-05-14";93730002;"1000";56.9535;9.0526
"MST0530_2020-05-15";"2020-05-15";94400007;"1300";56.1549;10.3209
"MST0384_2020-05-15";"2020-05-15";97200002;"1350";55.8617;12.7336
"MST0386_2020-05-15";"2020-05-15";93740007;"1075";56.6206;9.0681
"MST0156_2020-05-15";"2020-05-15";92200001;"1400";57.6078;9.9003
"MST0394_2020-05-15";"2020-05-15";93740007;"1050";56.6206;9.0681
"MST0455_2020-05-15";"2020-05-15";92200001;"1400";57.6078;9.9003
"MST0377_2020-05-18";"2020-05-18";94300001;"1600";55.6745;10.0834
"MST0404_2020-05-20";"2020-05-20";91500007;"700";55.3375;8.3501
"MST0448_2020-05-26";"2020-05-26";91320001;"200";56.0778;8.2168
"MST0553_2020-05-26";"2020-05-26";93300091;"1550";56.1456;11.5855
"MST412_2020-05-26";"2020-05-26";93500119;"1200";56.6552;10.5838
"MST0353_2020-05-27";"2020-05-27";95700008;"1400";54.8411;9.8168
"MST0378_2020-05-28";"2020-05-28";95130028;"1300";55.7016;9.6516
"MST0551_2020-06-02";"2020-06-02";94300001;"1350";56.1318;11.1501
