"MST.nummer";"dato indsamlet";"lokalitet_vanda";"latinsk artsnavn";"sæson";"år"
"MST0527_2019-08-29";"2019-08-29";93740007;"Karenia mikimotoi";"jul-nov";"2019"
"MST0156_2020-05-15";"2020-05-15";92200001;"Karenia mikimotoi";"jan-jun";"2020"
"MST0353_2020-05-27";"2020-05-27";95700008;"Karenia mikimotoi";"jan-jun";"2020"
"MST0386_2020-05-15";"2020-05-15";93740007;"Karenia mikimotoi";"jan-jun";"2020"
"MST0394_2020-05-15";"2020-05-15";93740007;"Karenia mikimotoi";"jan-jun";"2020"
"MST0424_2020-05-12";"2020-05-12";93610032;"Karenia mikimotoi";"jan-jun";"2020"
"MST0455_2020-05-15";"2020-05-15";92200001;"Karenia mikimotoi";"jan-jun";"2020"
"MST0462_2020-03-09";"2020-03-09";93010001;"Karenia mikimotoi";"jan-jun";"2020"
"MST0501_2020-06-04";"2020-06-04";93220011;"Karenia mikimotoi";"jan-jun";"2020"
"MST0510_2020-06-10";"2020-06-10";93920064;"Karenia mikimotoi";"jan-jun";"2020"
"MST0526_2020-05-13";"2020-05-13";93000005;"Karenia mikimotoi";"jan-jun";"2020"
"MST0529_2020-05-14";"2020-05-14";93730002;"Karenia mikimotoi";"jan-jun";"2020"
"MST0533_2020-05-13";"2020-05-13";95600002;"Karenia mikimotoi";"jan-jun";"2020"
"MST0535_2020-03-09";"2020-03-09";96510125;"Karenia mikimotoi";"jan-jun";"2020"
"MST0356_2020-08-25";"2020-08-25";91500007;"Karenia mikimotoi";"jul-nov";"2020"
"MST0452_2020-09-29";"2020-09-29";92200001;"Karenia mikimotoi";"jul-nov";"2020"
"MST0459_2020-09-01";"2020-09-01";94300001;"Karenia mikimotoi";"jul-nov";"2020"
"MST0504_2020-09-29";"2020-09-29";92200001;"Karenia mikimotoi";"jul-nov";"2020"
"MST0547_2020-08-31";"2020-08-31";97200002;"Karenia mikimotoi";"jul-nov";"2020"
"MST1002_2020-08-06";"2020-08-06";93740007;"Karenia mikimotoi";"jul-nov";"2020"
"MST1010_2020-08-04";"2020-08-04";93610032;"Karenia mikimotoi";"jul-nov";"2020"
"MST1013_2020-08-05";"2020-08-05";93730002;"Karenia mikimotoi";"jul-nov";"2020"
"MST1052_2020-08-26";"2020-08-26";93420310;"Karenia mikimotoi";"jul-nov";"2020"
"MST2021031_2021-06-17";"2021-06-17";92200001;"Karenia mikimotoi";"jan-jun";"2021"
"MST2021044_2021-05-19";"2021-05-19";91500007;"Karenia mikimotoi";"jan-jun";"2021"
"MST2021028_2021-09-27";"2021-09-27";92200001;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021029_2021-09-07";"2021-09-07";97200002;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021040_2021-09-15";"2021-09-15";93420310;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021058_2021-08-30";"2021-08-30";94300001;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021064_2021-09-02";"2021-09-02";93730002;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021071_2021-10-13";"2021-10-13";94230001;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021081_2021-09-20";"2021-09-20";91500007;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021082_2021-09-07";"2021-09-07";93000005;"Karenia mikimotoi";"jul-nov";"2021"
"MST2021083_2021-10-22";"2021-10-22";95600002;"Karenia mikimotoi";"jul-nov";"2021"
