"MST.nummer";"dato indsamlet";"lokalitet_vanda";"latinsk artsnavn";"sæson";"år"
"MST2022104_2022-08-29";"2022-08-29";94230001;"Mnemiopsis leidyi";"jul-nov";"2022"
"MST0443_2023-04-21";"2023-04-21";93010001;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2022052_2023-04-11";"2023-04-11";95700008;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2022077_2023-06-12";"2023-06-12";91500007;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2022097_2023-04-28";"2023-04-28";95130028;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2022100_2023-05-23";"2023-05-23";93000005;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2022103_2023-05-03";"2023-05-03";93000001;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2022110_2023-01-26";"2023-01-26";99000049;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023009_2023-05-10";"2023-05-10";94300001;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023016_2023-05-08";"2023-05-08";95220322;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023020_2023-05-04";"2023-05-04";95600002;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023041_2023-05-12";"2023-05-12";93500119;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023065_2023-05-10";"2023-05-10";94400007;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023086_2023-05-23";"2023-05-23";91320001;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023089_2023-05-17";"2023-05-17";93220011;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023097_2023-06-05";"2023-06-05";99150002;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023099_2023-06-22";"2023-06-22";96220363;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023102_2023-06-29";"2023-06-29";97230017;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023114_2023-03-17";"2023-03-17";91650035;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST2023118_2023-06-19";"2023-06-19";94230001;"Mnemiopsis leidyi";"jan-jun";"2023"
"MST1018_2023-09-06";"2023-09-06";92200001;"Mnemiopsis leidyi";"jul-nov";"2023"
