File Name,qpcr0887_MONIS5_biorad_assid23_Acibae_plt04_rundate20210606.pcrd,,,,,
Created By User,admin,,,,,
Notes,,,,,,
ID,,,,,,
Run Started,06/06/2021 13:04:56 UTC,,,,,
Run Ended,06/06/2021 15:16:53 UTC,,,,,
Sample Vol,25,,,,,
Lid Temp,105,,,,,
Protocol File Name,qpcr_setup_003_bioradcfx96_assID00_genspc_rundateYYYYMMDD.prcl,,,,,
Plate Setup File Name,qpcr0000_platesetup_plt04_BioRad_strp10_12.pltd,,,,,
Base Serial Number,CT010962,,,,,
Optical Head Serial Number,785BR10529,,,,,
CFX Manager Version,3.1.1517.0823. ,,,,,
,,,,,,
Well group,All Wells,,,,,
Amplification step,4,,,,,
Melt step,,,,,,
,,,,,,
,,,,,,
Well,Fluor,Target,Content,Sample,Cq,Starting Quantity (SQ)
H03,FAM,,Neg Ctrl-08,std1ENTC,NaN,NaN
H04,FAM,,Unkn-16,MST1005,NaN,NaN
H05,FAM,,Unkn-16,MST1005,NaN,NaN
H06,FAM,,Unkn-16,MST1005,NaN,NaN
H07,FAM,,Unkn-24,MST1052,NaN,NaN
H08,FAM,,Unkn-24,MST1052,NaN,NaN
H09,FAM,,Unkn-24,MST1052,NaN,NaN
H10,FAM,,Unkn-32,MST535,NaN,NaN
H11,FAM,,Unkn-32,MST535,NaN,NaN
H12,FAM,,Unkn-32,MST535,NaN,NaN
A01,ROX,,Std-01,std1E5,45.4941301018886,300000
A02,ROX,,Std-01,std1E5,46.2644230917653,300000
A03,ROX,,Std-01,std1E5,47.8451610758649,300000
A04,ROX,,Unkn-09,MST510,30.3404843214226,3.45386328312925E+102
A05,ROX,,Unkn-09,MST510,14.8615997307252,Infinity
A06,ROX,,Unkn-09,MST510,20.2082987348464,Infinity
A07,ROX,,Unkn-17,MST1010,16.1257156226291,Infinity
A08,ROX,,Unkn-17,MST1010,13.2179790709785,Infinity
A09,ROX,,Unkn-17,MST1010,12.5729958918493,Infinity
A10,ROX,,Unkn-25,MST547,42.5024286853584,7.5694339304474E-245
A11,ROX,,Unkn-25,MST547,16.4924108143439,Infinity
A12,ROX,,Unkn-25,MST547,42.5560734007057,2.23869896527871E-246
B01,ROX,,Std-02,std1E4,22.2278894924512,30000
B02,ROX,,Std-02,std1E4,22.5478691798342,30000
B03,ROX,,Std-02,std1E4,25.4585897230084,30000
B04,ROX,,Unkn-10,MST385,15.7879639184928,Infinity
B05,ROX,,Unkn-10,MST385,16.3059770542231,Infinity
B06,ROX,,Unkn-10,MST385,11.5469789532705,Infinity
B07,ROX,,Unkn-18,MST1013,40.5998291545497,1.28826832809607E-190
B08,ROX,,Unkn-18,MST1013,46.1758261417343,0
B09,ROX,,Unkn-18,MST1013,9.73130370435358,Infinity
B10,ROX,,Unkn-26,MST459,19.3504479296928,Infinity
B11,ROX,,Unkn-26,MST459,48.712359827852,0
B12,ROX,,Unkn-26,MST459,46.4868432118873,0
C01,ROX,,Std-03,std1E3,46.1203468699005,3000
C02,ROX,,Std-03,std1E3,17.2564409097829,3000
C03,ROX,,Std-03,std1E3,46.0431244393958,3000
C04,ROX,,Unkn-11,MST267,14.5542783346854,Infinity
C05,ROX,,Unkn-11,MST267,40.0301020423459,2.23502365356706E-174
C06,ROX,,Unkn-11,MST267,16.8424176106249,Infinity
C07,ROX,,Unkn-19,MST1002,43.0528795886834,1.54606954897761E-260
C08,ROX,,Unkn-19,MST1002,42.7202093751073,4.69384711350695E-251
C09,ROX,,Unkn-19,MST1002,41.7766941891473,3.67376892551504E-224
C10,ROX,,Unkn-27,MST406,46.6835423719776,0
C11,ROX,,Unkn-27,MST406,29.5268325299655,5.37419367947641E+125
C12,ROX,,Unkn-27,MST406,21.5312821364644,Infinity
D01,ROX,,Std-04,std1E2,42.1662456517908,300
D02,ROX,,Std-04,std1E2,23.140152100529,300
D03,ROX,,Std-04,std1E2,11.7765060198068,300
D04,ROX,,Unkn-12,MST350,45.916504422537,0
D05,ROX,,Unkn-12,MST350,40.5367323606188,8.10013646348005E-189
D06,ROX,,Unkn-12,MST350,43.0517043435934,1.67004335872313E-260
D07,ROX,,Unkn-20,MST1051,46.7000542361589,0
D08,ROX,,Unkn-20,MST1051,49.0028752279696,0
D09,ROX,,Unkn-20,MST1051,42.234894636097,3.1970387861958E-237
D10,ROX,,Unkn-28,MST439,45.1741770707469,5.30626503633499E-321
D11,ROX,,Unkn-28,MST439,42.7867630815935,5.94988358993696E-253
D12,ROX,,Unkn-28,MST439,46.0673957373575,0
E01,ROX,,Std-05,std1E1,9.53167179977496,30
E02,ROX,,Std-05,std1E1,16.3871748809301,30
E03,ROX,,Std-05,std1E1,47.6113477165674,30
E04,ROX,,Unkn-13,MST552,11.8950667274537,Infinity
E05,ROX,,Unkn-13,MST552,38.47257751805,5.55064991008468E-130
E06,ROX,,Unkn-13,MST552,43.5324134002772,3.3173196783214E-274
E07,ROX,,Unkn-21,MST1049,16.0828485982846,Infinity
E08,ROX,,Unkn-21,MST1049,39.581910390216,1.33155568885298E-161
E09,ROX,,Unkn-21,MST1049,45.7759454453352,0
E10,ROX,,Unkn-29,MST364,42.7554036306895,4.65978445225934E-252
E11,ROX,,Unkn-29,MST364,29.4289087894256,3.32271278036819E+128
E12,ROX,,Unkn-29,MST364,44.3096304665685,2.32970063920935E-296
F01,ROX,,Std-06,std1E0,29.2569895271451,3
F02,ROX,,Std-06,std1E0,49.0433337463692,3
F03,ROX,,Std-06,std1E0,46.5803324780165,3
F04,ROX,,Unkn-14,MST522,43.3270953004231,2.36098411431861E-268
F05,ROX,,Unkn-14,MST522,13.4337758832673,Infinity
F06,ROX,,Unkn-14,MST522,40.6093590642154,6.89238552909096E-191
F07,ROX,,Unkn-22,MST1016,50.5585003922709,0
F08,ROX,,Unkn-22,MST1016,46.2982860319568,0
F09,ROX,,Unkn-22,MST1016,44.0525151915039,4.96606055748715E-289
F10,ROX,,Unkn-30,MST1006,46.312071795933,0
F11,ROX,,Unkn-30,MST1006,43.3552700754279,3.71544165124352E-269
F12,ROX,,Unkn-30,MST1006,45.9260246558351,0
G01,ROX,,Std-07,std1E-1,42.3734697666042,0.3
G02,ROX,,Std-07,std1E-1,44.7030210319221,0.3
G03,ROX,,Std-07,std1E-1,29.0419231046789,0.3
G04,ROX,,Unkn-15,MST435,49.9573497470045,0
G05,ROX,,Unkn-15,MST435,42.4332240297668,7.10633171866026E-243
G06,ROX,,Unkn-15,MST435,7.74189069155114,Infinity
G07,ROX,,Unkn-23,MST356,39.193730156186,1.54488042107781E-150
G08,ROX,,Unkn-23,MST356,18.0946619671792,Infinity
G09,ROX,,Unkn-23,MST356,44.6622529579034,2.07151645964892E-306
G10,ROX,,Unkn-31,MST156,44.7162252128872,5.99631755597892E-308
G11,ROX,,Unkn-31,MST156,30.5587820143846,2.07030449510877E+96
G12,ROX,,Unkn-31,MST156,45.438202590168,0
H01,ROX,,Neg Ctrl-08,std1ENTC,31.3303473532774,2.10688881059583E+74
H02,ROX,,Neg Ctrl-08,std1ENTC,17.0293480952377,Infinity
H03,ROX,,Neg Ctrl-08,std1ENTC,41.784918909364,2.14130076026169E-224
H04,ROX,,Unkn-16,MST1005,49.7993382292156,0
H05,ROX,,Unkn-16,MST1005,23.4023226773335,1.99946907832649E+300
H06,ROX,,Unkn-16,MST1005,40.4447294748048,3.39551870523082E-186
H07,ROX,,Unkn-24,MST1052,40.0242692789537,3.27745622352222E-174
H08,ROX,,Unkn-24,MST1052,43.3607256962165,2.59720118739674E-269
H09,ROX,,Unkn-24,MST1052,43.2121579007239,4.4588529551625E-265
H10,ROX,,Unkn-32,MST535,43.4834769131296,8.23480953163146E-273
H11,ROX,,Unkn-32,MST535,49.8565228077245,0
H12,ROX,,Unkn-32,MST535,37.3769431302032,9.41612403894889E-99
