ScientificName;AphiaID;Synonym;SynonymID;Kingdom;Phylum;Class;Order;Family;Genus;locality;locationID;higherGeography;higherGeographyID;recordStatus;typeStatus;establishmentMeans;decimalLatitude;decimalLongitude;qualityStatus
Mendicula ferruginosa;152905;Mendicula ferruginosa;152905;Animalia;Mollusca;Bivalvia;Lucinida;Thyasiridae;Mendicula;North West Atlantic;http://marineregions.org/mrgid/7135;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Mendicula pygmaea;152424;Mendicula pygmaea;152424;Animalia;Mollusca;Bivalvia;Lucinida;Thyasiridae;Mendicula;Skagerrak;http://marineregions.org/mrgid/2379;Skagerrak;http://marineregions.org/mrgid/2379;valid;NA;NA;57.75;9;unreviewed
Mendicula pygmaea;152424;Mendicula pygmaea;152424;Animalia;Mollusca;Bivalvia;Lucinida;Thyasiridae;Mendicula;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;55.3300018310547;3;unreviewed
Mendicula pygmaea;152424;Mendicula pygmaea;152424;Animalia;Mollusca;Bivalvia;Lucinida;Thyasiridae;Mendicula;Norwegian Exclusive Economic Zone;http://marineregions.org/mrgid/5686;Norway;http://marineregions.org/mrgid/2252;valid;NA;NA;NA;NA;unreviewed
Gafrarium callipygum;141913;Gafrarium callipygum;141913;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Gafrarium;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;European waters (ERMS scope);http://marineregions.org/mrgid/7130;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;North Sea;http://marineregions.org/mrgid/2350;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;Belgian Exclusive Economic Zone;http://marineregions.org/mrgid/3293;North Sea;http://marineregions.org/mrgid/2350;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;British Isles;http://marineregions.org/mrgid/3140;United Kingdom;http://marineregions.org/mrgid/2208;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;Wimereux;http://marineregions.org/mrgid/979;France;http://marineregions.org/mrgid/17;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;Koksijde;http://marineregions.org/mrgid/91;Belgium;http://marineregions.org/mrgid/14;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;Azores Exclusive Economic Zone;http://marineregions.org/mrgid/8361;North Atlantic Ocean;http://marineregions.org/mrgid/1912;valid;NA;NA;NA;NA;unreviewed
Timoclea ovata;141929;Timoclea ovata;141929;Animalia;Mollusca;Bivalvia;Venerida;Veneridae;Timoclea;Swedish Exclusive Economic Zone;http://marineregions.org/mrgid/5694;Sweden;http://marineregions.org/mrgid/2180;valid;NA;NA;NA;NA;unreviewed
