"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"64","MST290","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2019-06-28","HirtshalsNOR7715",57.6078333333333,9.90025555555555,19,1,1500,"nej","na","2019-07-03","16.1","ja","ja","Fyto_zoo_ogmikrozooplankton","ja","nej",NA,"5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","09:45","10:45","10:55",NA
"65","MST265","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2019-06-28","HirtshalsNOR7715",57.6078333333333,9.90025555555555,19,1,1600,"nej","na","2019-07-03","16.1","ja","ja","Fyto_zoo_ogmikrozooplankton","ja","nej",NA,"5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","09:45","10:55","11:05",NA
"66","MST129","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2019-06-28","HirtshalsNOR7715",57.6078333333333,9.90025555555555,19,1,1500,"nej","na","2019-07-03","16.1","ja","ja","Fyto_zoo_ogmikrozooplankton","ja","nej",NA,"5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","09:45","11:10","11:20",NA
"67","MST295","SvendaageBendtsen","Pingo","Nordjylland","2019-07-08","KragskovRevSyd",57.5407666666667,10.4687833333333,4.5,1,1500,"nej","na","2019-07-15","15.8","ja","ja","makroalger","ja","nej","Prøven nedkølet under transport (fra 15,8°C til 12,5°C)","5732.446","57DEGR_32MINUT_26.76SECONDS","1028.762","010DEGR_28MINUT_7.62SECONDS","12:30","15:00","15:10",NA
"68","MST277","SvendaageBendtsen","Pingo","Nordjylland","2019-07-08","KragskovRevSyd",57.5407666666667,10.4687833333333,4.5,1,1500,"nej","na","2019-07-15","15.8","ja","ja","makroalger","ja","nej","Prøven nedkølet under transport (fra 15,8°C til 12,5°C)","5732.446","57DEGR_32MINUT_26.76SECONDS","1028.762","010DEGR_28MINUT_7.62SECONDS","12:30","15:10","15:20",NA
"69","MST285","SvendaageBendtsen","Pingo","Nordjylland","2019-07-08","KragskovRevSyd",57.5407666666667,10.4687833333333,4.5,1,1500,"nej","na","2019-07-15","15.8","ja","ja","makroalger","ja","nej","Prøven nedkølet under transport (fra 15,8°C til 12,5°C)","5732.446","57DEGR_32MINUT_26.76SECONDS","1028.762","010DEGR_28MINUT_7.62SECONDS","12:30","15:20","15:30",NA
"70","MST429","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2019-09-24","HirtshalsNOR7715",57.6078333333333,9.90025555555555,18,1,1500,"nej","na","2019-09-30","14.5","ja","ja","Fyto_zoo_ogmikrozooplankton","ja","nej",NA,"5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","09:52","11:48","11:51",NA
"71","MST413","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2019-09-24","HirtshalsNOR7715",57.6078333333333,9.90025555555555,18,1,1500,"nej","na","2019-09-30","14.5","ja","ja","Fyto_zoo_ogmikrozooplankton","ja","nej",NA,"5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","09:52","12:10","12:13",NA
"72","MST430","SvendaageBendtsen","MagretheGaardbo","Nordjylland","2019-09-24","HirtshalsNOR7715",57.6078333333333,9.90025555555555,18,1,1500,"nej","na","2019-09-30","14.5","ja","ja","Fyto_zoo_ogmikrozooplankton","ja","nej",NA,"5736.47","57DEGR_36MINUT_28.2SECONDS","954.92","009DEGR_54MINUT_0.92SECONDS","09:52","12:25","12:28",NA
"73","MST560","amlin","ABRA","Storstroem","2019-09-24","0401011FemernbaeltVest",54.7346166666667,11.0846805555556,5.2,4.2,1000,"nej","na","2019-09-25","16","ja","ja","aalegraes","ja","ja",NA,"54 44,077","54DEGR_44MINUT_4.62SECONDS","11 05,485","011DEGR_05MINUT_4.85SECONDS","10:05","10:22","NA","lagt i fryser efter filtrering"
