"","Vandprvenummer_unikt_nummer_U_Pr_Nr","Ansvarlig_prvetager_navn_Navn_Inds","Skib_skib","Institution_Inst","dato_dato_inds","lokalitet_navn_omrde_Lok_omr","position_breddegrad_lok_pos","position_lngdegrad_lok_pos","Max_vanddybde_p_lokalitet_max_Dyb","Dybde_hvor_vandprve_er_indhentet_fra_Dyb_Str","Volumen_vand_filtreret_Vwf","Er_vandsjlen_lagdelt_ja_nej","Dybde_for_lagdelingen_Dyb_lagd","dato_hvor_vandprve_er_overfrt_fra_15_C_til_80_C_dato_80C","Temperatur_p_vandprve_ved_indsamling_Temp_Inds","Er_vandhenter_behrigt_skyllet_inden_vandprven_blev_indsamlet_ja_nej","Er_pose_og_filter_udskiftet_i_Amphiltrator_inden_prven_er_blevet_filtreret_ja_nej","Vandprven_blev_indsamlet_samtidigt_med_bundfauna_makroalge_zooplankton_fytoplankton_fiskeri","Restvand_er_presset_ud_af_filteret_inden_indfrysning_ja_nej","Zip_lock_pose_med_filter_er_markeret_med_dato_unikt_nummer_og_lokalitet_ja_nej","Bemrkninger","position_breddegrad_lok_pos03","position_breddegrad_lok_pos02","position_lngdegrad_lok_pos03","position_lngdegrad_lok_pos02","tidspunkt_hvor_vandprve_er_indsamlet_tdspkt_inds_01","tidspunkt_hvor_vandprve_er_filtreret_tdspkt_filt","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_01","tidspunkt_hvor_vandprve_er_indfrosset_15_C_tdspkt_indfr_02"
"1","MST384","Alkri","Daphne","MST_SJ","2020-05-15","Sundet",55.8616666666667,12.7336055555556,49,1,1350,"ja","16",NA,"10.15","Ja","Ja","Fyto","ja","ja",NA,"55°51'70 N","55DEGR_51MINUT_42SECONDS","012°44'98 Ø","012DEGR_44MINUT_0.98SECONDS","10:15","10:30","10:32",NA
"2","MST389","Alkri","Daphne","MST_SJ","2020-05-15","Sundet",55.8616666666667,12.7336055555556,49,1,1300,"ja","16",NA,"10.15","Ja","Ja","Fyto","ja","ja",NA,"55°51'70 N","55DEGR_51MINUT_42SECONDS","012°44'98 Ø","012DEGR_44MINUT_0.98SECONDS","10:15","10:45","10:47",NA
"3","MST399","Alkri","Daphne","MST_SJ","2020-05-15","Sundet",55.8616666666667,12.7336055555556,49,1,1300,"ja","16",NA,"10.15","Ja","Ja","Fyto","ja","ja",NA,"55°51'70 N","55DEGR_51MINUT_42SECONDS","012°44'98 Ø","012DEGR_44MINUT_0.98SECONDS","10:15","11:00","11:02",NA
"4","MST396","PHELDKRMSKRABIL","Daphne","MST_SJ","2020-05-26","BF17",56.1455666666667,11.5855166666667,22.4,21.3,1600,"JA","14",NA,"6.45","JA","JA","BUNDFAUNA","JA","JA",NA,"56°08`734 N","56DEGR_08MINUT_44.04SECONDS","011°35`786 Ø","011DEGR_35MINUT_7.86SECONDS","08:00","08:20","08:24",NA
"5","MST409","PHELDKRMSKRABIL","Daphne","MST_SJ","2020-05-26","BF17",56.1455666666667,11.5855166666667,22.4,21.3,1600,"JA","14",NA,"6.45","JA","JA","BUNDFAUNA","JA","JA",NA,"56°08`734 N","56DEGR_08MINUT_44.04SECONDS","011°35`786 Ø","011DEGR_35MINUT_7.86SECONDS","08:00","08:35","08:38",NA
"6","MST553","PHELDKRMSKRABIL","Daphne","MST_SJ","2020-05-26","BF17",56.1455666666667,11.5855166666667,22.4,21.3,1550,"JA","14",NA,"6.45","JA","JA","BUNDFAUNA","JA","JA",NA,"56°08`734 N","56DEGR_08MINUT_44.04SECONDS","011°35`786 Ø","011DEGR_35MINUT_7.86SECONDS","08:00","08:47","08:50",NA
"7","MST391","PHELD","Daphne","MST_SJ","2020-06-02","VSJ20925_Gniben",56.1318333333333,11.1501472222222,45.8,1,1500,"ja","16",NA,"13.74","Ja","Ja","Fytoplankton","ja","ja",NA,"56°07`91 N","56DEGR_07MINUT_54.6SECONDS","011°09`53 Ø","011DEGR_09MINUT_0.53SECONDS","09:58","10:18","10:20",NA
"8","MST551","PHELD","Daphne","MST_SJ","2020-06-02","VSJ20925_Gniben",56.1318333333333,11.1501472222222,45.8,1,1350,"ja","16",NA,"13.74","Ja","Ja","Fytoplankton","ja","ja",NA,"56°07`91 N","56DEGR_07MINUT_54.6SECONDS","011°09`53 Ø","011DEGR_09MINUT_0.53SECONDS","09:58","10:40","10:42",NA
"9","MST555","PHELD","Daphne","MST_SJ","2020-06-02","VSJ20925_Gniben",56.1318333333333,11.1501472222222,45.8,1,1500,"ja","16",NA,"13.74","Ja","Ja","Fytoplankton","ja","ja",NA,"56°07`91 N","56DEGR_07MINUT_54.6SECONDS","011°09`53 Ø","011DEGR_09MINUT_0.53SECONDS","09:58","10:55","10:56",NA
"10","MST392","PHELD_ALKRI","Daphne","MST_STO","2020-06-04","KarrebaeksmindeBugt",55.1248333333333,11.5334611111111,12.4,11.3,1550,"ja","9.5",NA,"13.9","Ja","Ja","BUNDFAUNA","ja","ja",NA,"55°07`49 N","55DEGR_07MINUT_29.4SECONDS","011°32`46 Ø","011DEGR_32MINUT_0.46SECONDS","14:10","14:35","14:36",NA
