"ScientificName";"AphiaID";"Synonym";"SynonymID";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus";"locality";"locationID";"higherGeography";"higherGeographyID";"recordStatus";"typeStatus";"establishmentMeans";"decimalLatitude";"decimalLongitude";"qualityStatus"
"Paphia guttulata";542360;"Paphia guttulata";542360;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia japonica";826377;"Paphia japonica";826377;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia kreipli";507804;"Paphia kreipli";507804;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia lirata";507803;"Paphia lirata";507803;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia lutaenkoi";1304458;"Paphia lutaenkoi";1304458;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";"Vietnam";"http://marineregions.org/mrgid/2200";;;"valid";"holotype";;;;"checked"
"Paphia marmorata";817038;"Paphia marmorata";817038;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia nocturna";542361;"Paphia nocturna";542361;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia polita";507796;"Paphia polita";507796;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia restorationensis";542345;"Paphia restorationensis";542345;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia rhamphodes";542356;"Paphia rhamphodes";542356;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia rhomboides";141923;"Paphia rhomboides";141923;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";"European waters (ERMS scope)";"http://marineregions.org/mrgid/7130";"North Atlantic Ocean";"http://marineregions.org/mrgid/1912";"valid";;;;;"unreviewed"
"Paphia rhomboides";141923;"Paphia rhomboides";141923;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";"Belgian Exclusive Economic Zone";"http://marineregions.org/mrgid/3293";"Belgium";"http://marineregions.org/mrgid/14";"valid";;;;;"unreviewed"
"Paphia rhomboides";141923;"Paphia rhomboides";141923;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";"Wimereux";"http://marineregions.org/mrgid/979";"France";"http://marineregions.org/mrgid/17";"valid";;;;;"unreviewed"
"Paphia rhomboides";141923;"Paphia rhomboides";141923;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";"Belgian Exclusive Economic Zone";"http://marineregions.org/mrgid/3293";"Belgium";"http://marineregions.org/mrgid/14";"valid";;;;;"unreviewed"
"Paphia rhomboides";141923;"Paphia rhomboides";141923;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";"Irish Exclusive economic Zone";"http://marineregions.org/mrgid/5681";"Ireland";"http://marineregions.org/mrgid/2114";"valid";;;;;"unreviewed"
"Paphia schnelliana";507794;"Paphia schnelliana";507794;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia semirugata";507801;"Paphia semirugata";507801;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
"Paphia siratoriensis";1548026;"Paphia siratoriensis";1548026;"Animalia";"Mollusca";"Bivalvia";"Venerida";"Veneridae";"Paphia";;;;;;;;;;
