Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	25.80	5.00e+006	0.989	-3.907	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	25.64	5.00e+006	0.989	-3.907	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.1000	25.87	5.00e+006	0.989	-3.907	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	28.58	5.00e+005	0.989	-3.907	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	28.64	5.00e+005	0.989	-3.907	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.1000	28.80	5.00e+005	0.989	-3.907	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	33.61	5.00e+004	0.989	-3.907	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	33.52	5.00e+004	0.989	-3.907	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.1000	33.46	5.00e+004	0.989	-3.907	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	37.41	5.00e+003	0.989	-3.907	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	No Ct	No Ct	0.989	-3.907	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.1000	36.96	5.00e+003	0.989	-3.907	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	No Ct	No Ct	0.989	-3.907	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	No Ct	No Ct	0.989	-3.907	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.1000	No Ct	No Ct	0.989	-3.907	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.989	-3.907	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.989	-3.907	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.1000	No Ct	No Ct	0.989	-3.907	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.989	-3.907	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.989	-3.907	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.1000	No Ct	No Ct	0.989	-3.907	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.989	-3.907	
H2	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.989	-3.907	
H3	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1000	No Ct	No Ct	0.989	-3.907	
A4	09_MST003_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.989	-3.907	
A5	09_MST003_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.989	-3.907	
A6	09_MST003_5uL_  Qty or ID	Unknown	9	0.1000	No Ct	No Ct	0.989	-3.907	
B4	10_MST012_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.989	-3.907	
B5	10_MST012_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.989	-3.907	
B6	10_MST012_5uL_  Qty or ID	Unknown	10	0.1000	No Ct	No Ct	0.989	-3.907	
C4	11_MST019_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.989	-3.907	
C5	11_MST019_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.989	-3.907	
C6	11_MST019_5uL_  Qty or ID	Unknown	11	0.1000	No Ct	No Ct	0.989	-3.907	
D4	12_MST029_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.989	-3.907	
D5	12_MST029_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.989	-3.907	
D6	12_MST029_5uL_  Qty or ID	Unknown	12	0.1000	No Ct	No Ct	0.989	-3.907	
E4	13_MST032_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.989	-3.907	
E5	13_MST032_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.989	-3.907	
E6	13_MST032_5uL_  Qty or ID	Unknown	13	0.1000	No Ct	No Ct	0.989	-3.907	
F4	14_MST041_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.989	-3.907	
F5	14_MST041_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.989	-3.907	
F6	14_MST041_5uL_  Qty or ID	Unknown	14	0.1000	No Ct	No Ct	0.989	-3.907	
G4	15_MST046_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.989	-3.907	
G5	15_MST046_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.989	-3.907	
G6	15_MST046_5uL_  Qty or ID	Unknown	15	0.1000	No Ct	No Ct	0.989	-3.907	
H4	16_MST048_5uL_  Qty or ID	Unknown	16	0.1000	No Ct	No Ct	0.989	-3.907	
H5	16_MST048_5uL_  Qty or ID	Unknown	16	0.1000	No Ct	No Ct	0.989	-3.907	
H6	16_MST048_5uL_  Qty or ID	Unknown	16	0.1000	No Ct	No Ct	0.989	-3.907	
A7	17_MST050_5uL_  Qty or ID	Unknown	17	0.1000	No Ct	No Ct	0.989	-3.907	
A8	17_MST050_5uL_  Qty or ID	Unknown	17	0.1000	No Ct	No Ct	0.989	-3.907	
A12	25_MST071_5uL_  Qty or ID	Unknown	17	0.1000	No Ct	No Ct	0.989	-3.907	
B7	18_MST055_5uL_  Qty or ID	Unknown	18	0.1000	No Ct	No Ct	0.989	-3.907	
B8	18_MST055_5uL_  Qty or ID	Unknown	18	0.1000	No Ct	No Ct	0.989	-3.907	
B12	26_MST074_5uL_  Qty or ID	Unknown	18	0.1000	No Ct	No Ct	0.989	-3.907	
C7	19_MST064_5uL_  Qty or ID	Unknown	19	0.1000	No Ct	No Ct	0.989	-3.907	
C8	19_MST064_5uL_  Qty or ID	Unknown	19	0.1000	No Ct	No Ct	0.989	-3.907	
C12	27_MST076_5uL_  Qty or ID	Unknown	19	0.1000	No Ct	No Ct	0.989	-3.907	
D7	20_MST067_5uL_  Qty or ID	Unknown	20	0.1000	No Ct	No Ct	0.989	-3.907	
D8	20_MST067_5uL_  Qty or ID	Unknown	20	0.1000	No Ct	No Ct	0.989	-3.907	
D12	28_MST088_5uL_  Qty or ID	Unknown	20	0.1000	No Ct	No Ct	0.989	-3.907	
E7	21_MST097_5uL_  Qty or ID	Unknown	21	0.1000	No Ct	No Ct	0.989	-3.907	
E8	21_MST097_5uL_  Qty or ID	Unknown	21	0.1000	No Ct	No Ct	0.989	-3.907	
E12	29_MST132_5uL_  Qty or ID	Unknown	21	0.1000	No Ct	No Ct	0.989	-3.907	
F7	22_MST118_5uL_  Qty or ID	Unknown	22	0.1000	No Ct	No Ct	0.989	-3.907	
F8	22_MST118_5uL_  Qty or ID	Unknown	22	0.1000	No Ct	No Ct	0.989	-3.907	
F12	30_MST141_5uL_  Qty or ID	Unknown	22	0.1000	No Ct	No Ct	0.989	-3.907	
G7	23_MST121_5uL_  Qty or ID	Unknown	23	0.1000	No Ct	No Ct	0.989	-3.907	
G8	23_MST121_5uL_  Qty or ID	Unknown	23	0.1000	No Ct	No Ct	0.989	-3.907	
G12	31_MST152_5uL_  Qty or ID	Unknown	23	0.1000	No Ct	No Ct	0.989	-3.907	
H7	24_MST131_5uL_  Qty or ID	Unknown	24	0.1000	No Ct	No Ct	0.989	-3.907	
H8	24_MST131_5uL_  Qty or ID	Unknown	24	0.1000	No Ct	No Ct	0.989	-3.907	
