Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.1963	26.65	5.00e+006	0.982	-3.821	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.1963	26.92	5.00e+006	0.982	-3.821	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.1963	27.08	5.00e+006	0.982	-3.821	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.1963	30.59	5.00e+005	0.982	-3.821	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.1963	30.54	5.00e+005	0.982	-3.821	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.1963	30.28	5.00e+005	0.982	-3.821	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.1963	33.61	5.00e+004	0.982	-3.821	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.1963	33.72	5.00e+004	0.982	-3.821	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.1963	34.00	5.00e+004	0.982	-3.821	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.1963	No Ct	No Ct	0.982	-3.821	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.1963	No Ct	No Ct	0.982	-3.821	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.1963	39.26	5.00e+003	0.982	-3.821	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.1963	No Ct	No Ct	0.982	-3.821	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.1963	No Ct	No Ct	0.982	-3.821	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.1963	No Ct	No Ct	0.982	-3.821	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.1963	No Ct	No Ct	0.982	-3.821	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.1963	No Ct	No Ct	0.982	-3.821	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.1963	No Ct	No Ct	0.982	-3.821	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.1963	No Ct	No Ct	0.982	-3.821	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.1963	No Ct	No Ct	0.982	-3.821	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.1963	No Ct	No Ct	0.982	-3.821	
H1	08_std1ENTC_5uL_  Qty or ID	NTC	8	0.1963	No Ct	No Ct	0.982	-3.821	
