Well	Well Name	Well Type	Replicate	Threshold (dRn)	Ct (dRn)	Quantity (copies)	RSq (dRn)	Slope (dRn)	
A1	01_std1E6_5uL_  Qty or ID	Standard	1	0.1827	18.38	5.00e+006	0.952	-3.954	
A2	01_std1E6_5uL_  Qty or ID	Standard	1	0.1827	17.84	5.00e+006	0.952	-3.954	
A3	01_std1E6_5uL_  Qty or ID	Standard	1	0.1827	18.56	5.00e+006	0.952	-3.954	
B1	02_std1E5_5uL_  Qty or ID	Standard	2	0.1827	21.33	5.00e+005	0.952	-3.954	
B2	02_std1E5_5uL_  Qty or ID	Standard	2	0.1827	21.28	5.00e+005	0.952	-3.954	
B3	02_std1E5_5uL_  Qty or ID	Standard	2	0.1827	21.29	5.00e+005	0.952	-3.954	
C1	03_std1E4_5uL_  Qty or ID	Standard	3	0.1827	24.36	5.00e+004	0.952	-3.954	
C2	03_std1E4_5uL_  Qty or ID	Standard	3	0.1827	24.69	5.00e+004	0.952	-3.954	
C3	03_std1E4_5uL_  Qty or ID	Standard	3	0.1827	24.49	5.00e+004	0.952	-3.954	
D1	04_std1E3_5uL_  Qty or ID	Standard	4	0.1827	27.53	5.00e+003	0.952	-3.954	
D2	04_std1E3_5uL_  Qty or ID	Standard	4	0.1827	26.47	5.00e+003	0.952	-3.954	
D3	04_std1E3_5uL_  Qty or ID	Standard	4	0.1827	28.42	5.00e+003	0.952	-3.954	
E1	05_std1E2_5uL_  Qty or ID	Standard	5	0.1827	31.02	5.00e+002	0.952	-3.954	
E2	05_std1E2_5uL_  Qty or ID	Standard	5	0.1827	30.57	5.00e+002	0.952	-3.954	
E3	05_std1E2_5uL_  Qty or ID	Standard	5	0.1827	33.83	5.00e+002	0.952	-3.954	
F1	06_std1E1_5uL_  Qty or ID	Standard	6	0.1827	40.45	5.00e+001	0.952	-3.954	
F2	06_std1E1_5uL_  Qty or ID	Standard	6	0.1827	38.76	5.00e+001	0.952	-3.954	
F3	06_std1E1_5uL_  Qty or ID	Standard	6	0.1827	37.92	5.00e+001	0.952	-3.954	
G1	07_std1E0_5uL_  Qty or ID	Standard	7	0.1827	No Ct	No Ct	0.952	-3.954	
G2	07_std1E0_5uL_  Qty or ID	Standard	7	0.1827	No Ct	No Ct	0.952	-3.954	
G3	07_std1E0_5uL_  Qty or ID	Standard	7	0.1827	No Ct	No Ct	0.952	-3.954	
